heights,weights,salary,age,pos
75,185,1591350,36,G
78,205,7500000,36,G
78,230,3250000,28,G/F
74,185,12500000,31,G
81,255,3229050,28,F
83,240,1.00E+07,28,C
83,260,9036364,31,F/C
83,260,2.00E+05,25,F/C
83,250,885120,31,F/C
81,245,3049920,21,F/C
82,235,12350000,24,F/C
83,240,3340920,23,F
82,225,2897976,26,F/C
85,235,1078800,21,C
83,230,4.00E+05,26,C
80,235,4702500,31,F/C
78,200,1422720,20,G
77,200,1463000,26,G
80,200,11295250,24,G/F
81,240,788872,22,F
83,275,5200000,29,F/C
84,245,22721381,35,F
83,240,788872,25,F/C
73,165,1348200,20,G
81,205,1792560,18,G/F
81,275,2761114,23,F/C
81,225,947907,25,F
82,225,10146925,25,F
80,215,1750000,25,F
77,195,2750000,27,G
83,231,3526440,21,C
84,222,1422720,23,F/C
83,260,1200000,31,F/C
83,240,7727280,29,C
84,250,11862500,28,F/C
84,242,9.00E+06,27,C
85,250,4400000,27,C
81,235,3183000,32,F
78,182,3066667,24,G
79,203,1467840,19,G/F
84,250,1500000,25,C
75,210,884293,31,G
85,265,14860524,28,C
81,224,1330000,25,F
84,250,19285850,33,F/C
75,211,6791570,32,G
76,180,3678358,22,G
82,231,4500000,26,F
83,248,4505280,21,C
79,215,3900000,29,G/F
84,255,8374646,27,C
82,220,1.20E+07,34,F
82,235,7900000,26,F
83,254,1500000,26,C
83,290,1.20E+07,27,C
85,231,490180,23,C
81,235,,21,F/C
75,190,7500000,27,G
75,192,1056720,22,G
84,252,10750000,25,C
75,190,5.00E+06,27,G
79,200,1409040,20,F
80,228,14021788,30,F
82,240,788872,23,F
84,263,2050000,33,C
83,220,1905360,22,F
81,235,884293,37,F
82,232,3153860,24,F
81,237,7500000,27,F
80,210,2923920,21,F
84,250,1633440,23,F/C
82,210,5.00E+06,26,F/C
81,250,3183000,27,F/C
73,205,3637073,29,G
76,200,2652000,25,G
71,195,10786517,25,G
76,195,2005560,22,G
79,205,1149000,22,G/F
78,220,3180000,36,G/F
78,210,3762500,26,G/F
81,205,490180,22,F
81,240,854389,30,F
80,257,490180,23,F
81,242,5150000,25,F/C
77,186,,23,G
80,235,5.00E+05,21,F
72,175,4687000,29,G
77,205,762195,25,G
84,280,,31,C
81,225,13500000,27,F
73,169,7655503,24,G
84,265,3.00E+06,24,C
84,273,884293,25,C
81,260,1365720,21,F
84,275,947907,24,F/C
73,185,8600001,26,G
79,216,6679867,24,G/F
77,220,,25,G/F
80,240,,23,F
82,251,16441500,24,F
78,210,916099,24,G
71,165,1600000,30,G
78,215,1106941,31,G/F
76,213,4494383,31,G/F
77,201,788872,24,G
78,215,,23,F
74,175,4320000,32,G
72,161,884293,28,G
76,195,1208400,22,G
79,175,884293,28,G
84,250,2090880,20,C
84,270,2690875,28,C
79,270,884293,24,F/C
82,289,13500000,28,F/C
79,245,884293,31,F
77,200,1210080,24,G/F
81,248,6500000,30,F
76,191,884293,24,G
80,215,,24,G/F
78,235,854389,30,F
83,250,5643750,27,F/C
77,210,35868,28,G/F
84,235,762195,26,C
83,250,1106942,30,F/C
72,190,8600000,31,G
81,220,788872,23,F/C
72,185,1133950,25,G
72,189,490180,24,G
82,250,884293,22,F/C
77,191,535000,22,G
79,225,1887840,22,G/F
75,178,9300500,39,G
79,230,5150000,26,G/F
83,250,3700748,32,C
78,222,2225000,26,G/F
80,225,1675000,29,F
76,196,,24,G
76,190,5.00E+05,22,G
82,245,792377,29,F/C
73,175,5225000,26,G
81,205,3.00E+06,27,F
83,260,1375604,27,F/C
79,195,544000,21,G
84,240,1793520,22,C
84,255,,24,C
81,225,7550000,28,F
76,210,8.00E+06,25,G
79,210,1106942,28,G/F
79,216,9500000,24,G/F
78,220,5565000,28,G
81,250,1482000,23,F
81,215,,27,F
79,260,1591650,33,F
81,210,1809840,20,F
78,215,788872,23,G/F
84,285,12250000,25,C
76,190,,23,G
81,245,884293,33,F
80,250,19067500,28,F
84,265,14693906,25,C
84,255,5904261,25,C
80,210,854389,30,F
79,215,6250000,25,G/F
81,207,3.00E+05,29,F
83,265,20513178,27,C
84,255,788872,23,C
79,210,788872,24,F
80,215,490180,23,F
80,235,21388953,29,F
81,275,490180,26,F/C
78,185,2200920,22,G
76,215,3894240,21,G
79,215,884293,26,G/F
81,255,3060000,24,F/C
76,205,,22,G
77,205,473604,27,G
81,226,1545840,21,F
74,175,2016000,29,G
81,215,490180,22,F
75,190,48232,29,G
81,227,4062000,22,F
75,185,1120920,22,G
83,285,854389,25,C
83,230,68902,26,F
78,224,884293,28,F
81,235,17932627,25,F
83,240,14878000,28,F/C
74,180,2511432,22,G
76,215,884293,31,G
72,183,1267000,25,G
79,220,1169880,23,G/F
83,265,10986550,25,C
80,217,788872,21,F
75,205,884293,25,G
78,200,,24,G
76,210,3250000,29,G
77,220,788872,24,G
79,205,,23,G/F
80,230,4588384,27,F
83,240,,35,C
84,240,884293,29,C
79,226,3250000,33,F
82,260,14693906,25,F/C
72,175,1900000,26,G
74,180,,23,G
74,180,884293,26,G
76,205,9713484,23,G
77,200,884293,23,G
75,187,14693906,24,G
73,199,884293,34,G
77,215,7750000,27,G/F
78,225,1887120,20,G/F
80,210,7727280,28,G/F
81,245,3800000,31,C
80,240,5324280,20,F
81,225,185955,30,F
79,228,9316796,35,F
82,250,1500000,28,F/C
84,260,1.40E+07,28,C
74,200,5.00E+06,37,G
74,190,1146337,30,G
77,200,,31,G/F
83,255,1066920,23,C
79,225,788872,24,G/F
76,215,1258800,22,G
80,230,2180000,26,F
73,195,788872,22,G
76,213,3.00E+06,30,G
72,205,6210000,27,G
80,237,788872,25,F
77,205,854389,33,G
83,235,3053368,24,F/C
76,200,,22,G
75,175,1.30E+07,26,G
78,205,947907,27,G/F
81,248,,26,F
81,215,3749602,23,F
72,175,18668431,28,G
74,181,8.00E+06,25,G
72,175,951463,25,G
83,255,10361446,37,F/C
85,245,6500000,25,C
78,205,1160040,20,G
75,185,,21,G
69,185,884293,24,G
69,180,2016000,29,G
78,195,2678640,22,G
78,225,225479,25,G/F
78,185,788872,24,G/F
82,260,788872,26,F/C
79,205,2317920,23,G/F
75,195,3202920,23,G
80,230,854389,26,F
83,255,,32,C
81,215,884293,23,F
81,210,6500000,26,F/C
79,185,6500000,30,G
81,194,1660257,25,F
77,200,5225000,28,G/F
75,191,490180,25,G
77,195,490180,23,G/F
83,260,2676000,28,C
82,228,9.00E+05,24,F
79,225,788872,27,F
75,192,854389,30,G
81,250,1.20E+07,33,F
76,195,2162419,24,G
